"Aporte aguas arriba","Escorrentía","Función dominante","Tendencia funcional","Soporte de escorrentía","Soporte causal","P(Aporte)","P(Transferencia)","P(Recepción)","Suma","Regla aplicada"
"sin_agua_disponible","esc_baja","aporte","No aplica","Contradice","Débil",0.5,0.3,0.2,1,"Aporte aguas arriba sin agua disponible → función aporte; escorrentía baja contradice la función."
"sin_agua_disponible","esc_media","aporte","No aplica","Neutral","Moderado",0.6,0.25,0.15,1,"Aporte aguas arriba sin agua disponible → función aporte; escorrentía media neutral la función."
"sin_agua_disponible","esc_alta","aporte","No aplica","Apoya","Fuerte",0.7,0.2,0.1,1,"Aporte aguas arriba sin agua disponible → función aporte; escorrentía alta apoya la función."
"aporte_bajo","esc_baja","aporte","No aplica","Contradice","Débil",0.5,0.3,0.2,1,"Aporte aguas arriba bajo → función aporte; escorrentía baja contradice la función."
"aporte_bajo","esc_media","aporte","No aplica","Neutral","Moderado",0.6,0.25,0.15,1,"Aporte aguas arriba bajo → función aporte; escorrentía media neutral la función."
"aporte_bajo","esc_alta","aporte","No aplica","Apoya","Fuerte",0.7,0.2,0.1,1,"Aporte aguas arriba bajo → función aporte; escorrentía alta apoya la función."
"aporte_medio","esc_baja","transferencia","aporte","Contradice","Débil",0.3,0.5,0.2,1,"Aporte aguas arriba medio → función transferencia; escorrentía baja contradice la función."
"aporte_medio","esc_media","transferencia","Neutral","Apoya","Fuerte",0.15,0.7,0.15,1,"Aporte aguas arriba medio → función transferencia; escorrentía media apoya la función."
"aporte_medio","esc_alta","transferencia","recepcion","Apoya","Fuerte",0.1,0.7,0.2,1,"Aporte aguas arriba medio → función transferencia; escorrentía alta apoya la función."
"aporte_alto","esc_baja","recepcion","No aplica","Apoya","Fuerte",0.1,0.2,0.7,1,"Aporte aguas arriba alto → función recepción; escorrentía baja apoya la función."
"aporte_alto","esc_media","recepcion","No aplica","Neutral","Moderado",0.15,0.25,0.6,1,"Aporte aguas arriba alto → función recepción; escorrentía media neutral la función."
"aporte_alto","esc_alta","recepcion","No aplica","Contradice","Débil",0.2,0.3,0.5,1,"Aporte aguas arriba alto → función recepción; escorrentía alta contradice la función."
