"Suelo","Cobertura","Pendiente","Precipitación","Estado dominante","Tendencia funcional","Soporte pendiente","Soporte precipitación","Soporte causal","P(Infiltración baja)","P(Infiltración media)","P(Infiltración alta)","Suma","Regla aplicada"
"suelo_infiltracion_alta","forestal_conservada","pend_baja","prec_baja","alta","No aplica","Apoya","Contradice","Moderado",0.15,0.25,0.6,1,"Suelo + cobertura → Alta; pendiente apoya; precipitación contradice."
"suelo_infiltracion_alta","forestal_conservada","pend_baja","prec_media","alta","No aplica","Apoya","Neutral","Fuerte",0.1,0.2,0.7,1,"Suelo + cobertura → Alta; pendiente apoya; precipitación neutral."
"suelo_infiltracion_alta","forestal_conservada","pend_baja","prec_alta","alta","No aplica","Apoya","Apoya","Fuerte",0.1,0.2,0.7,1,"Suelo + cobertura → Alta; pendiente apoya; precipitación apoya."
"suelo_infiltracion_alta","forestal_conservada","pend_media","prec_baja","alta","No aplica","Neutral","Contradice","Débil",0.2,0.3,0.5,1,"Suelo + cobertura → Alta; pendiente neutral; precipitación contradice."
"suelo_infiltracion_alta","forestal_conservada","pend_media","prec_media","alta","No aplica","Neutral","Neutral","Moderado",0.15,0.25,0.6,1,"Suelo + cobertura → Alta; pendiente neutral; precipitación neutral."
"suelo_infiltracion_alta","forestal_conservada","pend_media","prec_alta","alta","No aplica","Neutral","Apoya","Fuerte",0.1,0.2,0.7,1,"Suelo + cobertura → Alta; pendiente neutral; precipitación apoya."
"suelo_infiltracion_alta","forestal_conservada","pend_alta","prec_baja","alta","No aplica","Contradice","Contradice","Débil",0.2,0.3,0.5,1,"Suelo + cobertura → Alta; pendiente contradice; precipitación contradice."
"suelo_infiltracion_alta","forestal_conservada","pend_alta","prec_media","alta","No aplica","Contradice","Neutral","Débil",0.2,0.3,0.5,1,"Suelo + cobertura → Alta; pendiente contradice; precipitación neutral."
"suelo_infiltracion_alta","forestal_conservada","pend_alta","prec_alta","alta","No aplica","Contradice","Apoya","Moderado",0.15,0.25,0.6,1,"Suelo + cobertura → Alta; pendiente contradice; precipitación apoya."
"suelo_infiltracion_alta","forestal_secundaria","pend_baja","prec_baja","alta","No aplica","Apoya","Contradice","Moderado",0.15,0.25,0.6,1,"Suelo + cobertura → Alta; pendiente apoya; precipitación contradice."
"suelo_infiltracion_alta","forestal_secundaria","pend_baja","prec_media","alta","No aplica","Apoya","Neutral","Fuerte",0.1,0.2,0.7,1,"Suelo + cobertura → Alta; pendiente apoya; precipitación neutral."
"suelo_infiltracion_alta","forestal_secundaria","pend_baja","prec_alta","alta","No aplica","Apoya","Apoya","Fuerte",0.1,0.2,0.7,1,"Suelo + cobertura → Alta; pendiente apoya; precipitación apoya."
"suelo_infiltracion_alta","forestal_secundaria","pend_media","prec_baja","alta","No aplica","Neutral","Contradice","Débil",0.2,0.3,0.5,1,"Suelo + cobertura → Alta; pendiente neutral; precipitación contradice."
"suelo_infiltracion_alta","forestal_secundaria","pend_media","prec_media","alta","No aplica","Neutral","Neutral","Moderado",0.15,0.25,0.6,1,"Suelo + cobertura → Alta; pendiente neutral; precipitación neutral."
"suelo_infiltracion_alta","forestal_secundaria","pend_media","prec_alta","alta","No aplica","Neutral","Apoya","Fuerte",0.1,0.2,0.7,1,"Suelo + cobertura → Alta; pendiente neutral; precipitación apoya."
"suelo_infiltracion_alta","forestal_secundaria","pend_alta","prec_baja","alta","No aplica","Contradice","Contradice","Débil",0.2,0.3,0.5,1,"Suelo + cobertura → Alta; pendiente contradice; precipitación contradice."
"suelo_infiltracion_alta","forestal_secundaria","pend_alta","prec_media","alta","No aplica","Contradice","Neutral","Débil",0.2,0.3,0.5,1,"Suelo + cobertura → Alta; pendiente contradice; precipitación neutral."
"suelo_infiltracion_alta","forestal_secundaria","pend_alta","prec_alta","alta","No aplica","Contradice","Apoya","Moderado",0.15,0.25,0.6,1,"Suelo + cobertura → Alta; pendiente contradice; precipitación apoya."
"suelo_infiltracion_alta","hidrofila_humedal","pend_baja","prec_baja","alta","No aplica","Apoya","Contradice","Moderado",0.15,0.25,0.6,1,"Suelo + cobertura → Alta; pendiente apoya; precipitación contradice."
"suelo_infiltracion_alta","hidrofila_humedal","pend_baja","prec_media","alta","No aplica","Apoya","Neutral","Fuerte",0.1,0.2,0.7,1,"Suelo + cobertura → Alta; pendiente apoya; precipitación neutral."
"suelo_infiltracion_alta","hidrofila_humedal","pend_baja","prec_alta","alta","No aplica","Apoya","Apoya","Fuerte",0.1,0.2,0.7,1,"Suelo + cobertura → Alta; pendiente apoya; precipitación apoya."
"suelo_infiltracion_alta","hidrofila_humedal","pend_media","prec_baja","alta","No aplica","Neutral","Contradice","Débil",0.2,0.3,0.5,1,"Suelo + cobertura → Alta; pendiente neutral; precipitación contradice."
"suelo_infiltracion_alta","hidrofila_humedal","pend_media","prec_media","alta","No aplica","Neutral","Neutral","Moderado",0.15,0.25,0.6,1,"Suelo + cobertura → Alta; pendiente neutral; precipitación neutral."
"suelo_infiltracion_alta","hidrofila_humedal","pend_media","prec_alta","alta","No aplica","Neutral","Apoya","Fuerte",0.1,0.2,0.7,1,"Suelo + cobertura → Alta; pendiente neutral; precipitación apoya."
"suelo_infiltracion_alta","hidrofila_humedal","pend_alta","prec_baja","alta","No aplica","Contradice","Contradice","Débil",0.2,0.3,0.5,1,"Suelo + cobertura → Alta; pendiente contradice; precipitación contradice."
"suelo_infiltracion_alta","hidrofila_humedal","pend_alta","prec_media","alta","No aplica","Contradice","Neutral","Débil",0.2,0.3,0.5,1,"Suelo + cobertura → Alta; pendiente contradice; precipitación neutral."
"suelo_infiltracion_alta","hidrofila_humedal","pend_alta","prec_alta","alta","No aplica","Contradice","Apoya","Moderado",0.15,0.25,0.6,1,"Suelo + cobertura → Alta; pendiente contradice; precipitación apoya."
"suelo_infiltracion_alta","agropecuaria","pend_baja","prec_baja","media","alta","Neutral","Contradice","Débil",0.2,0.5,0.3,1,"Suelo + cobertura → Media con tendencia alta; pendiente neutral; precipitación contradice."
"suelo_infiltracion_alta","agropecuaria","pend_baja","prec_media","media","alta","Neutral","Apoya","Fuerte",0.1,0.7,0.2,1,"Suelo + cobertura → Media con tendencia alta; pendiente neutral; precipitación apoya."
"suelo_infiltracion_alta","agropecuaria","pend_baja","prec_alta","media","alta","Neutral","Neutral","Moderado",0.15,0.6,0.25,1,"Suelo + cobertura → Media con tendencia alta; pendiente neutral; precipitación neutral."
"suelo_infiltracion_alta","agropecuaria","pend_media","prec_baja","media","alta","Apoya","Contradice","Moderado",0.15,0.6,0.25,1,"Suelo + cobertura → Media con tendencia alta; pendiente apoya; precipitación contradice."
"suelo_infiltracion_alta","agropecuaria","pend_media","prec_media","media","alta","Apoya","Apoya","Fuerte",0.1,0.7,0.2,1,"Suelo + cobertura → Media con tendencia alta; pendiente apoya; precipitación apoya."
